outcome,Otu00001,Otu00002,Otu00003,Otu00004,Otu00005,Otu00007,Otu00008,Otu00009,Otu00010,Otu00011,Otu00012,Otu00014,Otu00015,Otu00016,Otu00017,Otu00019,Otu00021,Otu00025,Otu00028,Otu00034,Otu00035,Otu00036,Otu00040,Otu00042,Otu00050,Otu00051,Otu00075,Otu00091,Otu00117
nondiarrheal_control,0.1228,0.0084,0,0.0238,0.0026,0.0212,0.0596,0,0,0.0476,0.0152,0.0244,0,0.0026,0.0152,6e-4,0,0.01,2e-4,0,0.002,0,0.0112,0.0018,0.0018,0,0.0044,0,6e-4
nondiarrheal_control,2e-4,0,0,0,2e-4,0,0,0.0138,0,0.1876,0,0,2e-4,0,0,0,0.0454,0.001,0.0726,0.0056,0.0014,0.0016,0,0,0.0318,0.0078,0,0,0
case,0.162,0.1238,0,0.0156,0,0.0642,0.0182,0,6e-4,0.0026,0.005,0,0.002,0.0044,0.0024,0,0,0,6e-4,0.0178,0,0,4e-4,0.0014,0,0,0,0,0
case,0.3004,0.0574,0.0794,0.099,0.0024,0,0.0168,0.0014,0,0,0.0106,0.2072,0.0156,0.0212,0.0282,0,0.0078,0,0,0,0.004,8e-4,0,0.0028,0,0.0204,0,0.0016,0
case,0,0.1722,0.43120000000000003,2e-4,0.2696,0,0,2e-4,0,0,0,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
case,0,0.211,0.011,0.0184,0,0.1588,0.0562,0.0084,0.0012,0.0062,0.0012,0,0,0.001,0.0912,0,0,0,0,0,0.0012,4e-4,0,0,2e-4,2e-4,0,0.045,0
case,0.281,0.0022,0,0.0316,0,0,0.0044,0,0,0.0084,0.0402,0.0504,0.0132,0.0062,0.0828,0,4e-4,0,0.0502,0.0012,0.001,0.0016,0,0.001,0.0074,0,0,0.001,0
case,2e-4,0.1064,0.029,0,2e-4,2e-4,0.0072,0,0,0,0,0.0488,0.0078,0.0284,0.1004,0.1756,0.013,0,0.016,0.002,6e-4,0,0,0,0,4e-4,0,0,0
case,4e-4,0.042,0.23,0,0.4388,2e-4,0,0,0,0.0472,0,0,0.0024,0,0,0,0.0018,0,0.005,0.0096,0.0074,0.002,0,0,6e-4,0,0,0,0
case,2e-4,0.0012,0.0642,2e-4,0.2652,0.509,0,0.0058,6e-4,2e-4,0,0,0.0058,0,0,0,0.0734,0,0,0,2e-4,0,2e-4,0,0,0.0106,0,0,0
case,0.4734,0.0596,0.081,0.0782,0.0048,0,0.0362,0,4e-4,0,0,0,0.0022,0,0,0,0.01,0,0.0022,0.0022,0,0,0,0.0054,0,8e-4,0,0,0
case,0.242,6e-4,0.0456,0.0224,0.0036,0.0446,0.005,2e-4,0.0666,0.0494,0.005,0.0032,0,0.0064,0.1116,0,0,0.0072,8e-4,0.0014,0.0038,0.002,0.0078,0.012,0.0122,0,0.0036,0,0.003
case,8e-4,0.0016,2e-4,4e-4,0.3614,0.6048,2e-4,0.0014,0.001,2e-4,0,0,0.0016,0,0,0,0,4e-4,2e-4,0,0,0,0,2e-4,0,0,0,0,0
case,0.2446,0.1288,0.0344,0.0332,0.067,0.099,0.0272,4e-4,0,2e-4,0.0198,0,0.0018,0,0,0.0064,0.0044,0,4e-4,0.0018,0,0.005,0,0.0034,0,0.0014,0,0,0
case,4e-4,0.262,0.0014,0,0.495,0,0,0,0,0,0,0,0.006,0,0,0,0,4e-4,0,0,0,0,0,0,0,0,0,0,0
case,0.003,6e-4,2e-4,6e-4,0.0012,0,0.002,0.0012,0.0028,0.0898,2e-4,6e-4,0.1054,0.097,4e-4,0.0024,0,0,0.0588,0.0346,0,2e-4,6e-4,0,0,0,0,0.013,0
case,0.3156,0.0796,0.0024,0.0766,0,0,0.0174,0.0054,0,4e-4,0,0,0,0,0.1362,0,0,0,0.0052,0,6e-4,0.0086,0,0.002,0.0066,6e-4,0,0,4e-4
case,0.0882,0.0062,0,0.0182,0.0118,0.0168,0.0408,0.0012,0.2684,0,0.0822,0.096,0,0.0072,2e-4,0,0,0,0,6e-4,0,0,0.0018,0.0022,0.0016,0,0,0,0
case,0.1162,0.0382,0,0.0096,0.107,0.0318,0.0896,0,0,2e-4,0.0234,0.0298,0.0112,0.0122,0.0116,0.007,0.0126,0.0014,0.001,0.0058,0.0012,0.0024,0,0.0016,0.0038,0.005,0,0.0018,2e-4
case,0.0262,2e-4,0.0108,4e-4,0.0062,0,0.0306,0.011,0.0616,0.0046,0.0076,4e-4,0.0082,8e-4,2e-4,0,0,2e-4,0.6274,0,0,0.0326,0.0524,2e-4,4e-4,0.003,0,2e-4,0
nondiarrheal_control,0.0316,0.0054,0.0102,0.0254,0.0016,8e-4,0.0024,0.6132,2e-4,0,4e-4,0.0108,2e-4,6e-4,0.0012,2e-4,0,0,6e-4,0,0,0,0,0,0,6e-4,0,0,0
case,0.305,0.0088,0,0.4064,0,0,0.0222,2e-4,2e-4,8e-4,0,0.0012,0.0046,0.0018,0.003,0,2e-4,0,0.013,2e-4,0,8e-4,6e-4,0.0028,0,0.001,0.0066,0,0
case,8e-4,0.0964,6e-4,4e-4,0.0026,0,0,2e-4,0,2e-4,0,0,2e-4,0,0,0,0.0044,0,0.0012,0.0026,0.0452,0,0,0,0,2e-4,0,6e-4,0
case,0.0512,0.0044,0.001,0.0074,2e-4,0.0132,0.0118,0,8e-4,0.0042,0,6e-4,0,0.0016,0.0024,0,2e-4,2e-4,0,0,0,0,2e-4,0.0014,0,0,0,0,2e-4
case,0.001,0.065,0.0654,0.1354,4e-4,0.0104,0.0316,0.002,0.1092,0,6e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nondiarrheal_control,0.0062,6e-4,0,0.0022,6e-4,4e-4,0.0028,0,0,0.0382,0.0048,4e-4,2e-4,2e-4,2e-4,8e-4,0,0.0086,0,0,0.0022,0,0.0036,0,4e-4,0,0.0018,0,2e-4
nondiarrheal_control,0.0384,0.0292,2e-4,2e-4,0,0,0.0016,0,0,0.0246,0.0114,0,2e-4,2e-4,2e-4,4e-4,0,0.0296,0,0,0.0032,6e-4,4e-4,6e-4,0.012,0,0.0024,0,2e-4
nondiarrheal_control,2e-4,0.0614,0.4224,0,0.392,4e-4,0,8e-4,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
case,0.2328,4e-4,0.158,0.1096,0.0146,0.0886,0.0436,0,0,0.0084,0.0018,0,0.0024,0.003,0.0198,0.0046,0.0124,0.0016,8e-4,2e-4,6e-4,2e-4,0.0052,0.0368,2e-4,0,2e-4,0,2e-4
case,0.0016,0.0188,0.0088,0.1612,4e-4,0.0048,0.0314,0.0056,0.2396,4e-4,0,0.0044,2e-4,0,0,0,2e-4,2e-4,0,0,0,0,0,0,0,0,0,0,0
nondiarrheal_control,0.2196,0.0076,2e-4,0.0582,4e-4,0.018,0.0808,0,0.2014,0.0098,0.0026,0.207,0.0012,0.0096,0.0332,0.004,0.0034,2e-4,0.001,0.0012,0.003,0.002,0,0.0016,0.0092,4e-4,0.001,0,6e-4
case,0.162,0.0618,2e-4,2e-4,0.001,0,0.0876,0,0.129,4e-4,0.0588,0,0.0026,0,0.0868,0.0956,0.0082,0,0.0024,0.0084,4e-4,0.0034,0,0.0022,0.0212,4e-4,0,0.0032,0.0016
nondiarrheal_control,0.3908,0.0054,0.0062,0.0288,0.002,0.0274,0.0422,0,0,0.1828,2e-4,0.002,6e-4,4e-4,0.001,2e-4,0,0.0304,6e-4,0,0.0054,4e-4,0,0.0096,0.0038,0.0032,0.002,0,0
nondiarrheal_control,0.4274,0.0312,0.0042,4e-4,0.1428,0.001,4e-4,0,0.0012,0,0,0,0.008,0,4e-4,0,0.0174,0,0.0028,0.0234,0.1166,0,2e-4,0.0022,0,8e-4,0.0026,0.0024,0.013
case,0.204,0.1262,0,0.013,0.0354,0.1222,0.012,0,0.0102,2e-4,0.0034,0.095,0.0062,0.0104,0.0112,0,0.0132,0,4e-4,0.002,2e-4,0.001,0.002,0.002,2e-4,6e-4,0,6e-4,2e-4
case,0.0962,0.0188,0,0.0184,0,0.0334,0.029,0,0.3206,0.0026,0.0276,0,6e-4,0,0,0,4e-4,0,8e-4,0.001,0,0.0016,0.022,2e-4,0.0142,0,8e-4,2e-4,0.002
case,0.0878,0.42,0.0266,0.0228,0.2084,0.0418,0.0098,0.0044,0.0434,0.0018,0.003,0.0016,2e-4,0.0038,0.013,2e-4,4e-4,2e-4,0,0,0.0014,0,0.0014,6e-4,6e-4,2e-4,0,2e-4,0
case,0.2372,0.0456,0.001,0.087,0.0042,0.142,0.0268,0,0.1646,0,0.0028,0,0,0.0176,0.0304,0.0016,0.0024,0,0,0,0,0,0,0.002,0,0,0,0,0
case,0.0048,0.0016,4e-4,0.4092,2e-4,0.0018,0.0018,0,0.0018,6e-4,0.1522,0.0014,0.0446,0,2e-4,0,0,0,0.0204,2e-4,0,0,0.0258,0,0,4e-4,0,0.0066,0
case,2e-4,0.0046,0.074,2e-4,0,0.0758,0.0242,0,0.1338,0.001,4e-4,0.091,0.0124,0,6e-4,2e-4,4e-4,0.013,4e-4,0.0014,4e-4,6e-4,0,0,0.0038,0,0,0,0
case,0.373,0.4704,0.0284,0.0026,0,0.0016,4e-4,0.0016,0.0034,2e-4,8e-4,0.0016,0.0114,0,4e-4,2e-4,0.0012,2e-4,2e-4,0.024,0,0.0074,0,0.0056,0,0.0208,0,0,0
nondiarrheal_control,0.0152,0.0054,0.2486,0.014,0.2198,0.004,0.002,0.034,0.0052,2e-4,0.0054,0.005,0.051,0,4e-4,0.001,0,4e-4,4e-4,0.1672,0,0,4e-4,0,4e-4,4e-4,0,0.0036,0
nondiarrheal_control,0.1976,0.2514,0.0166,0.0164,0.182,0.0702,0.024,4e-4,6e-4,0,0.002,0.0552,0.0034,0.0048,0,0.0026,0,0.0038,0.001,4e-4,8e-4,2e-4,0.001,0.001,0,0,0,0,0
nondiarrheal_control,0.131,0,0,0.0032,2e-4,0.002,0.0044,0,6e-4,0.1084,0.006,0,0,0.0024,8e-4,6e-4,0.001,0.001,0,0,0.0068,0,2e-4,0.0016,0.0016,0,2e-4,0,0.005
nondiarrheal_control,0.1362,0.0586,0,0.1232,0.2138,0.1098,2e-4,6e-4,0,2e-4,2e-4,0,0.0086,0,0,0,0.0048,0,0.0118,0.0236,2e-4,0,0,0.0036,0,0,0,0,0
nondiarrheal_control,0.033,2e-4,0,0.0758,4e-4,0.0288,0.0038,0.09,0.2046,2e-4,0.1354,0.065,0.0142,0.0152,0.0636,0.0034,0.016,0,0,0,2e-4,0,0,4e-4,0.0122,0.0224,0,0,0
nondiarrheal_control,0.2672,2e-4,0,0.0888,0.0032,0.0678,0.0594,6e-4,0,0,0.0088,0,6e-4,0.0092,0,0.005,0.0158,0.0164,0,0,0.0136,0,8e-4,0.0032,0,0.001,0,0,0
case,0.5358,0.0648,0,0,2e-4,0,0.0844,6e-4,0,0,0.1108,0,0.0182,0,0,0,0.0408,0,0.0012,0.0014,0,0.0172,0,0.0036,0,0.0082,0,8e-4,0
case,0.4,0.0566,0,0.0208,2e-4,0.031,0.0154,0.0142,0.0608,0.0086,0.1306,0.0108,6e-4,0,0,0.0052,0.0238,0,2e-4,0,6e-4,0.0144,0.0018,0.0048,0,0,0,0,6e-4
case,0.176,0.1634,0.056,0.0436,6e-4,0.089,0.0114,0,0,6e-4,0.0744,0,0.0444,0.041,0,0.0394,0.0014,2e-4,0.0016,0.0052,2e-4,2e-4,0,0.0278,0,4e-4,2e-4,2e-4,0
nondiarrheal_control,0.2206,0,0,0.0366,0.0036,0.0104,0.0138,0,0,0.0078,0,4e-4,0.0026,0.003,0,0.0016,2e-4,0.0032,4e-4,0.0036,0.0176,0.0024,0.0142,0.0024,0.0016,0,0.0088,2e-4,0
nondiarrheal_control,0.4216,0.056,0.007,0.0566,0.0214,0.2194,2e-4,0,0,8e-4,0,0,0.0076,0.008,0,0.0088,6e-4,2e-4,4e-4,0.001,6e-4,2e-4,0.0026,0.0042,0,0,2e-4,6e-4,0
nondiarrheal_control,0.0068,0.0858,0.1666,0.0018,0.0764,0.002,0.0016,0.044,2e-4,4e-4,4e-4,2e-4,2e-4,6e-4,0,0,0,0,0,0,0,0,0,0,2e-4,2e-4,0,0,0
nondiarrheal_control,0.2,2e-4,0.0036,0.1682,8e-4,0,2e-4,2e-4,0,0.1166,0,0,0,0.0274,0.0378,0.0372,0,8e-4,0,6e-4,0.0058,6e-4,0.014,0.0042,0.0012,0,0.002,0,0
nondiarrheal_control,0.3362,4e-4,0,0.101,0.0024,2e-4,0.09,0,0,0.0646,0,0,0.0256,0.0288,2e-4,0.0364,0.0042,0,0.0014,0.0044,0.0218,0.011,0.0054,0.0052,0.008,0,0,4e-4,0.001
case,2e-4,0.0842,0.0186,0.262,0.063,2e-4,2e-4,0.0034,0,0,0.1952,0,0.006,0,0,0.0756,0.0082,0,0.0414,0,2e-4,0,0,0,0,0.0088,0,0,0
case,0.1954,0.2398,0,4e-4,0.0016,2e-4,0.059,4e-4,0,0,2e-4,0,0.0038,0,0,0,0.003,0,0,0,0,0,0,0.0364,2e-4,0.002,0,0,8e-4
case,0.1786,0.07,0,0.246,0,0.03,0.0408,0.0094,0.2548,0,0.0046,8e-4,0.0052,0.016,0,0.0056,0,0,6e-4,0.0058,0.0036,0,4e-4,0.0024,0.0012,0.0206,0,6e-4,0
nondiarrheal_control,0.2214,8e-4,0.0618,0.039,0.0022,0.0346,0.0158,0,0.103,0,0.0046,0.1106,0.0046,0.0138,0.006,0.0054,0.0024,0.0076,0,0,0.0052,6e-4,0,0.0718,0.0026,2e-4,0,0,0
case,0.0116,0.1082,0.0614,0.0126,6e-4,0.0188,0.0154,0,0,0.0328,0.0018,0,0.001,0.0056,0.009,0,0.0038,0,0.0018,0.0082,0,0.0012,0.0052,0,0,0,0,0,0
case,0.3558,0.2236,0.0014,0.0066,6e-4,0.0022,0.0056,0,0.0016,0.0018,0.0614,0.0168,0.001,0.0012,2e-4,2e-4,0.1672,8e-4,0,0.0016,0.0014,0.0142,6e-4,0.0032,4e-4,0,2e-4,0,0
case,0.0088,0.2204,0.0032,0.0562,0.137,0.063,0.0046,6e-4,0,0,0.0032,0,0.0032,0.0184,0.0438,0.0044,0,2e-4,0,8e-4,0,0,0.0022,2e-4,0,0,0,0,0
nondiarrheal_control,0.0648,0.001,0,0.047,0,0.0218,0.2108,6e-4,0.1152,0,0,0,0.0142,0,4e-4,0,2e-4,2e-4,0.0158,0.0094,0,0,0.0466,0.0018,0.041,0.001,0,4e-4,0.0014
case,0.1236,0.004,0.001,0.039,4e-4,0.0144,0.007,4e-4,0.0746,0.0034,0.015,0.0022,4e-4,0,0.016,0.0064,0,0.002,0.0084,0.0012,2e-4,0.0062,0.0282,0.0018,2e-4,0,0.0016,0,0
case,0.2474,0.119,0.0274,0.0756,0.0038,0,0.0326,0.0034,0,0.0346,0,0,0.0068,0,0.088,0.0436,0.0124,2e-4,0.0026,0,0,0.0202,0,0.003,0,0,0,0,0
nondiarrheal_control,0.101,0.2238,4e-4,2e-4,0.0118,0.1254,0.0064,0,2e-4,0,0,0,0.0042,4e-4,0,0,0.0216,0.0356,0.0018,0,0.0146,0.0016,0,0.003,2e-4,4e-4,0.0086,0,0
nondiarrheal_control,0.0016,0.013,0.0018,4e-4,0.0786,0,0,0,2e-4,0.12,0,0,0.0052,0,0,0,0.0196,0,0.0126,0.0078,0.0254,0,0,0,0,0.006,0,0,0.0134
nondiarrheal_control,2e-4,0.0016,0.3476,0.6032,0.0036,2e-4,0,0,4e-4,0,0,0,0,0,0,2e-4,0,0,0,0,0,2e-4,0,0,0,0,0,0,0
nondiarrheal_control,0.0398,0.0288,0.005,0.0756,0.173,0.0056,0.0124,0,8e-4,0.0114,0,0.1656,6e-4,0.0168,0,0,0.0158,0.0048,2e-4,0,0.0092,6e-4,0.0048,4e-4,0.0042,0.0026,0.001,0,0
case,0.1404,0.0308,0.0124,0.0346,0.038,0.0736,0.0152,0.0012,2e-4,0.0722,0.0066,0.1064,0,0.005,0.0146,0.0016,6e-4,0,0,0,0,0.0122,0.0018,0.002,6e-4,4e-4,0,0,0.0022
case,0.1644,2e-4,0,4e-4,0,2e-4,0,0.0564,0,4e-4,0,0,2e-4,0,0,2e-4,0.0082,0,0,0,0,0,0,0.0016,0,0,0,0,0
case,0,0.3104,4e-4,4e-4,0.216,0,0,2e-4,0,0,0,2e-4,0.0224,2e-4,0,0,0.0228,0,0,0,0,0,2e-4,0,0,0,0,0,0
case,4e-4,0.014,2e-4,2e-4,0.0032,0,2e-4,2e-4,0,0,0,0,0.1064,0,0,0,0.0272,0,0.0086,0.0452,0,2e-4,0,0,0,8e-4,0,0.11,0
case,0.0888,0.1784,0.0794,2e-4,0.015,0,0.016,0.0022,0.0118,4e-4,0,0,0.0124,0.0016,0.085,0,0.009,0.0074,0.0242,0.0488,0.0104,0,0.0052,0.0376,0,0,0.0084,0.0028,0
case,0,2e-4,0,0.006,0,0,0.0044,0.0328,0.0832,0,0.0786,0,2e-4,0.0538,0,0.1312,0,0,0,0,0,0,0.002,0,0.005,0,0,0,0
case,0.3398,0.0322,4e-4,0.0678,0.0058,2e-4,0.0208,0,2e-4,0.0158,0,0,0.0048,0.024,0.3082,0,0.032,0,0.0042,0.0026,0,0,0.008,0.0038,0,0.008,0,0.0034,0
case,0.0202,2e-4,2e-4,0.4022,8e-4,0.1464,0.008,2e-4,0.011,0.0286,0,0,0.007,0.0826,0,0,0,0,0.1462,0.0102,0.003,0,2e-4,0.0038,0,0,0,0.0014,0
case,0.0012,0,0,2e-4,0.2794,0,0,0.0018,0,0,0,0,0.0152,0,0,2e-4,0,0,0.0606,0.0928,2e-4,0,0,0,0,0,0,2e-4,0
nondiarrheal_control,0.2058,0.1006,0.0112,0.0178,0.0306,0.0076,0.0216,0,0,0.0838,0.0056,0.0252,0,0.0068,0.0174,0.0014,0,0.004,0,0,0.0058,0.0022,0.032,0.0034,6e-4,0,0.0036,0,2e-4
nondiarrheal_control,0.112,0.0506,2e-4,0.0854,0.0014,0.0028,0.0244,6e-4,0,0.0082,0.0044,0.0558,0.0024,0.0034,0.0056,0.0106,6e-4,0.0038,0.0066,6e-4,0.002,0.004,0.0172,0.0018,0.006,0,0.0044,0.0012,2e-4
nondiarrheal_control,0,0.5928,0.0024,0.032,8e-4,4e-4,0,0.339,0,0,0,0,2e-4,0,0,0,2e-4,0,4e-4,0,2e-4,0,0,0,0,0,0,0,0
case,0.1068,2e-4,0,0.0334,6e-4,0,0.0334,0.012,0,0.0476,0.0552,0.069,6e-4,0,0,0.0198,6e-4,0.0304,0.001,0.0012,0.006,0,0,0.0032,0.0028,0,0.0042,2e-4,0.0014
case,6e-4,4e-4,0.1658,0.1648,0.019,0,0.1362,0,0,0,0,2e-4,0,0.0504,2e-4,0,0.0286,2e-4,0.0014,0.0194,0.0116,0.008,0,0,0.0024,0.0034,0,8e-4,0
nondiarrheal_control,0.1532,0.0322,0.0038,0.0306,0,0.0372,0.1502,0,6e-4,0,0.0118,0,0.0034,0.006,0.0328,0.004,6e-4,0.01,0,2e-4,2e-4,0.0014,0.004,0.0024,0.0238,0.0024,2e-4,4e-4,0.0322
case,8e-4,0.1424,0.0434,0,0.0904,0,0.0536,0.0018,2e-4,0,0,0,0.0176,0,0,0,0.0298,0,0.0118,0.0118,0,0,0,0,0,0.004,0,4e-4,0
case,2e-4,0.1044,0.0324,0.0016,0.105,2e-4,2e-4,0,2e-4,0,0,0,0.0148,2e-4,0,0,0.011,2e-4,0.186,0.0368,0,0,0,0,0.0172,0.0022,2e-4,0.002,0
case,0.204,0.075,0.003,0.0252,4e-4,0.0364,6e-4,0,0.0596,0.0122,2e-4,0,0.0524,0.181,0,0,0.0152,0,2e-4,2e-4,6e-4,0,0,0.0028,0,2e-4,0,0,0
case,0.3844,0.1758,0.0276,0,0,0,0,0,0,0,0,0,0.0098,0.052,0,0,0.0022,0.0012,0,0.045,0.0114,0,0,0.0032,0.0012,0.0022,0,0.0016,0
case,0.0928,0.0048,0.0014,0.0622,0,0.0294,0.0524,0,0.0558,0.006,0.0058,0.0684,0.006,2e-4,0.153,0.0172,6e-4,0.0012,0,0.0112,4e-4,6e-4,2e-4,0.0022,0.0166,2e-4,2e-4,0.001,0
case,0.0018,0.0114,0.0478,0,0.031,4e-4,4e-4,2e-4,0,2e-4,0,2e-4,0.0382,0,0,2e-4,0.0166,0,0,0,0.0356,0,0,0,2e-4,0.015,0,0.0042,0
case,4e-4,0.5918,0.0442,0,0.082,0,0,0.0118,2e-4,0,0,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0
nondiarrheal_control,0.0264,0.2272,0,0.003,0,0.0382,0.0612,0,0.0698,0,0.0154,0.1236,0.0046,0.0114,0.0328,0.0574,0.002,0,0.0044,0.0016,0.0032,0,6e-4,0.001,0.0094,0,0.0028,0,0.0014
nondiarrheal_control,0.1696,8e-4,2e-4,0.0216,6e-4,0.0374,0.08,0,0,0.0478,0,0.0312,0.0016,0,0,0.0216,0,0.0166,0,0,0.0048,0.0038,0.0036,0.0032,0.0026,0,0.0052,4e-4,0.0022
case,4e-4,0.3414,0.0022,0,6e-4,0,0,0.006,0,0.0198,0,0.0134,0.0072,0,4e-4,0,0.0168,4e-4,0.0114,0.0262,0,0,0,2e-4,0.0018,0,0,8e-4,0
nondiarrheal_control,0.2462,0.001,2e-4,0.0634,2e-4,0.008,0.0094,0,0,0,0.022,0,6e-4,0.0162,0.0128,0,8e-4,0.0022,4e-4,4e-4,0.0144,8e-4,0.0068,0.0032,0.0042,2e-4,8e-4,2e-4,0
case,8e-4,2e-4,0.293,4e-4,0,2e-4,8e-4,4e-4,2e-4,0,2e-4,0,0.0732,0,0,0,0.039,2e-4,0.173,0.111,2e-4,0.0138,0,0,0.001,0.1054,0,0.0498,0
case,0.3676,0.0014,0.005,0.0594,4e-4,0,0,0,0,0,0,0,0.0052,0.0076,2e-4,0,6e-4,2e-4,2e-4,8e-4,4e-4,0.0018,0.0052,0.0054,0,0,0,0,2e-4
case,0.405,0.1056,0.0572,0,0.0314,0,0.0668,0,0,0.0202,0,0,0.009,0,0,0,0,6e-4,0.0472,0.019,0.002,0,0,0.004,4e-4,2e-4,0,0.001,0
case,0,2e-4,0.4568,2e-4,0.2646,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-4,0,0,0,0,0,0
case,0.135,0.2398,8e-4,0.021,4e-4,0.0094,0.0126,0.0012,0.0194,0.0418,0.0136,0.027,0.001,0.0026,0.0318,0.0182,0.001,0.0092,2e-4,0.0018,0.0012,0.0012,0,0.002,6e-4,2e-4,6e-4,0.001,0
case,8e-4,0.1414,0.13,0.0386,0.0416,0,0,0.0074,0.1014,6e-4,0,2e-4,0,0.0046,0,0,0,2e-4,0,0,0,0,0,0,0,0,0,0,0
case,0,6e-4,0,2e-4,0.0172,0,0,0,0,0.2952,0,0,8e-4,0,0,0,0.0016,0.0598,0.0014,0.0084,0.0076,0,0,0,0,0.0018,0.0084,6e-4,0
nondiarrheal_control,0.0016,0.1278,0.17,2e-4,0.3656,0.0014,0.0618,0,0.0032,0,0,4e-4,0,0.0824,0,0,0,0,0,0,0,0,0,2e-4,0,0,0,0,0
nondiarrheal_control,0.1374,0.0374,0.0018,0.0596,2e-4,2e-4,0,0,0,2e-4,0.1256,0.1262,0.0072,0,2e-4,0,0.0118,0,0.0278,0,0,0.0086,0,0.0016,0,0.0052,0,0.0014,0
nondiarrheal_control,0.016,0.0026,0.0958,0.0552,4e-4,0,0.0564,0.0036,0,2e-4,0.0054,0,0.0042,0.0068,0.0012,0.056,0,0.0046,0.0046,0.001,0,0.0216,0.0508,4e-4,0.0062,2e-4,0.004,6e-4,0
case,0.1076,0.0484,0.0024,0.0184,0.0012,0.064,0.0878,0.0138,0,0,0.0152,0.097,0.014,0.0202,0,0.0068,0,0,0.0024,6e-4,0.0186,0,8e-4,0.0028,0.0012,0.002,0,2e-4,0.0216
nondiarrheal_control,0.0964,0.2246,0.0074,0.0018,0.0014,4e-4,2e-4,4e-4,2e-4,0,2e-4,0.0054,0,0.0026,0,0,0,0,0,0,0,0,0,0.0392,0,0,0,0,0
case,0.1042,0.0174,0.002,0.0084,6e-4,0.0132,0.0158,0.0012,0.0034,0.0084,0.0014,0.0286,0.3476,0.0044,0,6e-4,0.0046,0.0016,0.003,0.0556,0.0012,0.0278,0.0088,0.0014,0.0024,0.001,6e-4,0.023,0
case,0.3338,0,0.238,0,0.1844,6e-4,0,2e-4,0,0,2e-4,0,0.003,0,0,0,0.0042,0,0.003,0,0.0092,0,0,0.006,0,8e-4,2e-4,0,0
nondiarrheal_control,0.0012,0.1814,0.005,0.324,0.0218,0,0,0.0152,6e-4,0,2e-4,0,0.006,0,6e-4,0,0.003,0,4e-4,0,0.0014,0.0122,0,0,2e-4,8e-4,0,2e-4,0
nondiarrheal_control,8e-4,0.179,0.0288,0,0.0046,0,4e-4,0,0,0,0,0,0.0046,0,0,0,0.076,0.0546,0.0012,0.0174,0.049,0.002,0,0,0,0.0022,0,0.001,0
nondiarrheal_control,0.0518,0.0156,0.0086,0.0124,0.0034,0.0226,0.015,0.308,0.001,0.0052,0.0154,0.0036,0.001,0.0046,0.0082,0.0086,0.0012,8e-4,0,0,2e-4,4e-4,0.0016,0.0026,2e-4,2e-4,0,0,0
case,0,0.4818,0.01,2e-4,0.0944,4e-4,0,0.0034,0,0,0,0,6e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054,0
nondiarrheal_control,0.1076,0.028,0,0.0098,0,0.041,0.301,0,0,0.0824,0.0104,0,4e-4,0.003,0,2e-4,4e-4,0.0518,0,4e-4,0.0038,0.0022,0,0.0016,0.0156,2e-4,8e-4,0.001,4e-4
case,0.0012,0.0788,0.0048,0.015,0.0746,0.004,0.0112,0,0.0158,0.0018,0.0014,0.002,0.0326,0.0064,2e-4,0,0.0088,2e-4,0.0128,0.0742,0,0.001,0,0,0,0,0,0.0032,0
nondiarrheal_control,0.1446,0.0146,0,0.0664,0.0226,0.0026,0.0286,0,0.0268,0.032,0.0338,0.101,2e-4,0.0054,0.007,0.0108,0,0.035,0,0,0.004,6e-4,0.0034,0.002,0.0014,0,6e-4,0,0.002
nondiarrheal_control,4e-4,0.285,0.1098,0.0458,0.114,6e-4,0,4e-4,4e-4,0,0,0,0,0,0,2e-4,0,0,0.025,0,0,0.0274,0,2e-4,0,0,0,0,0
nondiarrheal_control,0.1776,0.1658,0.0062,0.0832,0.027,0.0028,0.0804,8e-4,0,0.0148,0.025,0,6e-4,0.0174,0.0248,0,0.0042,0.0048,0.0012,0.001,0.0012,0.0058,0,0.002,0.0022,6e-4,0.0036,0,0.0016
case,0.2058,0.027,0.0034,0.0046,0,0.218,0,6e-4,0,0,0.023,0,0.0156,0,2e-4,0.0042,0.0594,0,0.0178,0.022,8e-4,0.0068,2e-4,0.006,0,0.0026,0.115,0.0016,0
case,0.17,0.2754,0.0142,0.055,0,2e-4,0,0,0,0.001,0.0094,0.0214,0.0322,0.008,0,0,0.005,0,0.0202,0,0,0.024,0.0068,0.0034,8e-4,0,0,0,0
case,0.2812,0.3042,0.0048,0.035,0,0,0.0102,0,0,0,0.1412,2e-4,0.0132,0,0,0,0.0076,0,2e-4,0.0846,2e-4,0,0,0.0036,0,0.0102,0,0.0022,0
case,0.1836,0.0638,0.0086,0.0512,0.063,0.054,0.0108,0.0022,0.0738,0,0.0074,0.0504,0.0026,0.0064,0.0312,0,0,0,0,0,0,0,0.0288,0.0024,0,0,0.001,0,0
